"unique_id","TEHC_ST"
"11413607018 101",20
"11413613418 101",20
"11413646518 101",20
"11413646518 102",20
"11413646518 103",20
"11413646518 104",20
"11428574618 101",20
"11428574618 102",20
"11428577018 101",20
"11428577018 102",20
"11455202318 101",20
"11455225318 101",20
"11481607018 101",20
"11481607018 102",20
"11481677018 101",20
"11481677018 102",20
"12845075518 101",40
"13345043118 101",20
"13355998818 101",30
"13389233418 101",10
"13389284818 101",50
"28503462618 101",50
"28503462618 102",50
"28503464618 101",50
"28503464618 102",50
"28504904018 101",20
"28504904018 102",20
"28504904018 103",20
"28504904018 104",20
"28504904018 105",20
"28504944018 101",20
"28504944018 102",20
"28504944018 103",20
"28504955418 101",20
"28504955418 102",20
"28504955418 103",20
"28504955418 104",20
"28504977218 101",29
"28504980418 101",20
"28504980418 102",20
"28507348618 101",30
"28507377818 101",30
"28509223518 101",10
"28509223518 102",10
"28509223518 103",10
"28509223518 104",10
"28509233418 101",10
"28509233418 102",10
"28509256718 101",10
"28509256718 102",10
"28509295418 101",10
"28509295418 102",10
"28511493318 101",40
"28511493318 102",40
"28511493318 103",40
"28511495018 101",40
"28511495018 102",40
"28513538618 101",30
"28513538618 102",30
"28513538618 103",30
"28513540218 101",30
"28513540218 102",30
"28513895718 101",50
"28513895718 102",50
"28513895718 103",50
"28517288318 101",30
"28517288318 102",30
"28519984418 101",20
"28519984418 102",20
"28519999418 101",20
"28533413818 101",20
"28533413818 102",20
"28533450918 101",20
"28533450918 102",20
"28535938618 101",30
"28535938618 102",30
"28550036518 101",30
"28550036518 102",30
"28550036518 103",30
"28599519318 101",50
"28599519318 102",50
"29204933411418 101",24
"29204933411418 102",24
"29204933438418 101",24
"29204933438418 102",24
"29204933438418 103",24
"29204933446918 101",24
"29204933446918 102",24
"29204933446918 103",24
"29204933446918 104",24
"29204933452518 101",24
"29204933455018 101",24
"29204933455018 102",24
"29204933496518 101",24
"29204940624518 101",24
"29204940624518 102",24
"29204940624518 103",24
"29204940646918 101",24
"29204940646918 102",24
"29204940655018 101",24
"29204941811418 101",24
"29204941811418 102",24
"29204941838418 101",24
"29204941838418 102",24
"29204941867718 101",24
"29204941867718 102",24
"29204941896518 101",24
"29204999511418 101",61
"29204999518818 101",24
"29204999518818 102",24
"29204999555018 101",24
"29204999555018 102",24
"29204999596518 101",42
"29209204601818 101",4
"29209204601818 102",4
"29209204601818 103",4
"29209204601818 104",4
"29209204601818 105",4
"29209204678418 101",4
"29209204678418 102",4
"29209206806118 101",4
"29209206806118 102",4
"29209206806118 103",4
"29209206806118 104",4
"29209206831818 101",4
"29209206831818 102",4
"29209227601818 101",4
"29209227606118 101",4
"29209227618918 101",4
"29209227618918 102",4
"29209227631818 101",4
"29209227631818 102",4
"29209227667118 101",4
"29209227667118 102",4
"29209227667118 103",4
"29209227667118 104",4
"29209227667118 105",4
"29209227667118 106",4
"29209227675118 101",4
"29209233478418 101",4
"29209234401818 101",4
"29209234401818 102",4
"29209234401818 103",4
"29209234401818 104",4
"29209234401818 105",4
"29209234401818 106",4
"29209234401818 107",4
"29209234406118 101",4
"29209234406118 102",4
"29209234406118 103",4
"29209234416018 101",4
"29209234416018 102",4
"29209234418918 101",4
"29209234419818 101",4
"29209234455218 101",4
"29209234478418 101",4
"29209234478418 102",4
"29209234478418 103",4
"29209235943118 101",24
"29209235943118 102",24
"29209235954918 101",24
"29209235954918 102",24
"29209235969218 101",24
"29209235969218 102",24
"29209235969218 103",24
"29209235969218 104",24
"29209235969218 105",24
"29209235970518 101",24
"29209235970518 102",24
"29209235984418 101",24
"29209235984418 102",24
"29209235999418 101",24
"29209235999418 102",24
"29209235999418 103",24
"29209235999418 104",24
"29209240601818 101",4
"29209240601818 102",4
"29209240606118 101",4
"29209240606118 102",4
"29209240606118 103",4
"29209240606118 104",4
"29209240606118 105",4
"29209240606118 106",4
"29209240618918 101",4
"29209240618918 102",4
"29209240618918 103",4
"29209240631818 101",4
"29209240631818 102",4
"29209240655218 101",4
"29209240667118 101",4
"29209240678418 101",4
"29209240678418 102",4
"29209240818918 101",4
"29209240818918 102",4
"29209240831818 101",17
"29209240831818 102",17
"29209240831818 103",17
"29209240867118 101",4
"29209240867118 102",4
"29209240867118 103",4
"29209240867118 104",4
"29209240875118 101",4
"29209240875118 102",4
"29209240878418 101",4
"29209240878418 102",4
"29209240878418 103",4
"29209241818918 101",4
"29209241819818 101",4
"29209241819818 102",4
"29209241831818 101",4
"29209241831818 102",4
"29209241867118 101",4
"29209241867118 102",4
"29209241867118 103",4
"29209241867118 104",4
"29209241875118 101",4
"29209241878418 101",4
"29209268401818 101",4
"29209268401818 102",4
"29209268401818 103",4
"29209268401818 104",4
"29209268401818 105",4
"29209268401818 106",4
"29209268401818 107",4
"29209268418918 101",4
"29209268418918 102",4
"29209268418918 103",4
"29209268455218 101",4
"29209268475118 101",4
"29209268475118 102",4
"29209268478418 101",49
"29209268478418 102",49
"29209268816218 101",24
"29209268816218 102",24
"29209268845818 101",24
"29209299501818 101",4
"29209299516018 101",4
"29209299516018 102",4
"29209299516018 103",4
"29209299516018 104",4
"29209299516018 105",4
"29209299516018 106",4
"29209299519818 101",4
"29209299519818 102",36
"29209299531818 101",4
"29209299555218 101",4
"29209299555218 102",4
"29209299567118 101",4
"29209299567118 102",4
"29209299567118 103",4
"29209299567118 104",4
"29209299575118 101",4
"29209299575118 102",27
"29209299575118 103",27
"29213345082818 101",24
"29213364125318 101",24
"29213364181418 101",24
"29213389254518 101",12
"29213604606118 101",4
"29213604606118 102",4
"29213604616018 101",4
"29213604616018 102",4
"29213604618918 101",4
"29213604618918 102",4
"29213604618918 103",4
"29213604618918 104",4
"29213604655218 101",4
"29213604655218 102",4
"29213604655218 103",4
"29213604667118 101",4
"29213604675118 101",4
"29213604675118 102",4
"29213604678418 101",4
"29213604678418 102",4
"29213604678418 103",4
"29213604678418 104",4
"29213604678418 105",4
"29213606801818 101",4
"29213606801818 102",4
"29213606801818 103",4
"29213606801818 104",4
"29213606801818 105",4
"29213606816018 101",4
"29213606818918 101",4
"29213606818918 102",4
"29213606819818 101",4
"29213606819818 102",4
"29213606819818 103",4
"29213606819818 104",4
"29213606831818 101",4
"29213606831818 102",4
"29213606831818 103",4
"29213606831818 104",4
"29213606831818 105",4
"29213606831818 106",4
"29213606867118 101",4
"29213606867118 102",4
"29213606875118 101",4
"29213606875118 102",4
"29213613866818 101",4
"29213613866818 102",4
"29213620436618 101",4
"29213620436618 102",4
"29213620436618 103",4
"29213620489918 101",4
"29213620489918 102",4
"29213620496018 101",4
"29213627601818 101",4
"29213627606118 101",4
"29213627606118 102",4
"29213627606118 103",4
"29213627606118 104",4
"29213627606118 105",4
"29213627606118 106",4
"29213627606118 107",4
"29213627606118 108",4
"29213627616018 101",4
"29213627616018 102",4
"29213627616018 103",4
"29213627616018 104",4
"29213627616018 105",4
"29213627631818 101",4
"29213627667118 101",4
"29213633406118 101",4
"29213633406118 102",4
"29213633418918 101",4
"29213633418918 102",4
"29213633418918 103",4
"29213633418918 104",4
"29213633418918 105",4
"29213633431818 101",4
"29213633431818 102",4
"29213633431818 103",4
"29213633455218 101",4
"29213633455218 102",4
"29213633455218 103",4
"29213633455218 104",4
"29213633455218 105",4
"29213633455218 106",4
"29213633455218 107",4
"29213633467118 101",4
"29213633467118 102",4
"29213634401818 101",4
"29213634431818 101",4
"29213640616018 101",4
"29213640616018 102",4
"29213640655218 101",4
"29213640667118 101",4
"29213640667118 102",4
"29213640667118 103",4
"29213640667118 104",4
"29213640806118 101",4
"29213640806118 102",4
"29213640831818 101",4
"29213640831818 102",4
"29213640831818 103",4
"29213640867118 101",4
"29213640867118 102",4
"29213640867118 103",4
"29213640867118 104",4
"29213640867118 105",4
"29213640867118 106",4
"29213640878418 101",41
"29213640878418 102",41
"29213641801818 101",4
"29213641816018 101",4
"29213641816018 102",4
"29213641816018 103",4
"29213641816018 104",4
"29213641816018 105",4
"29213641816018 106",4
"29213641818918 101",4
"29213641818918 102",4
"29213641831818 101",4
"29213641831818 102",4
"29213641831818 103",4
"29213641831818 104",4
"29213641845118 101",4
"29213641845118 102",4
"29213641845118 103",4
"29213641845118 104",4
"29213641855218 101",4
"29213641875118 101",4
"29213641875118 102",4
"29213641875118 103",4
"29213641875118 104",4
"29213641875118 105",4
"29213641878418 101",4
"29213641878418 102",4
"29213668401818 101",4
"29213668401818 102",4
"29213668419818 101",4
"29213668431818 101",4
"29213668431818 102",4
"29213668467118 101",4
"29213668467118 102",4
"29213668475118 101",4
"29213668475118 102",4
"29213668478418 101",4
"29213668478418 102",4
"29213696724618 101",4
"29213696724618 102",4
"29213696724618 103",4
"29213696724618 104",4
"29213696750518 101",4
"29213696750518 102",4
"29213696768818 101",4
"29213699506118 101",4
"29213699506118 102",4
"29213699506118 103",4
"29213699506118 104",4
"29213699506118 105",4
